High,Low
0.756,0.666
0.711,0.665
0.743,0.698
0.715,0.63
0.743,0.691
0.709,0.715
0.74,0.705
0.731,0.744
0.705,0.632
0.729,0.662
0.754,0.698
0.719,0.656
0.708,0.693
0.738,0.688
0.704,0.632
0.741,0.698
0.739,0.718
0.719,0.669
0.722,0.644
0.718,0.701
0.733,0.694
0.734,0.686
0.684,0.753
0.729,0.682
0.75,0.689
0.689,0.686
0.733,0.624
0.722,0.7
0.706,0.612
0.733,0.705
0.692,0.674
0.68,0.689
0.733,0.645
0.739,0.712
0.75,0.619
0.732,0.618
0.737,0.707
0.727,0.675
0.703,0.688
0.704,0.588
0.753,0.714
0.713,0.711
0.725,0.737
0.754,0.686
0.717,0.649
0.73,0.69
0.743,0.683
0.736,0.739
0.751,0.726
0.74,0.676
0.696,0.705
0.692,0.659
0.75,0.579
0.739,0.701
0.717,0.741
0.689,0.71
0.731,0.669
0.729,0.681
0.708,0.638
0.742,0.64
0.717,0.644
0.754,0.721
0.695,0.675
0.726,0.659
0.722,0.677
0.746,0.641
0.722,0.685
0.736,0.731
0.725,0.629
0.734,0.687
0.732,0.621
0.711,0.551
0.747,0.731
0.747,0.705
0.72,0.679
0.743,0.716
0.703,0.602
0.752,0.736
0.754,0.707
0.759,0.691
0.673,0.694
0.719,0.686
0.74,0.7
0.741,0.693
0.739,0.595
0.698,0.723
0.728,0.671
0.705,0.676
0.688,0.72
0.73,0.629
0.757,0.614
0.758,0.677
0.752,0.707
0.743,0.642
0.715,0.702
0.732,0.682
0.719,0.708
0.725,0.603
0.707,0.683
0.723,0.713
