0,Xm,Xm,0,U1,Xm,0,Xn,Xm,Xm,Xm,Xm,X,X,Xm,Xm,Xm,Xn,U1,Xn
X,U1,U1,U1,X,X,Xn,Xm,Xm,Xn,Xm,Xn,X,Xn,0,Xm,X,0,Xm,U1
Xm,Xn,Xm,X,X,U1,0,X,Xn,U1,0,0,0,0,Xm,Xm,X,Xn,X,X
Xm,Xn,Xm,Xn,0,X,0,U1,X,0,U1,U1,X,Xn,Xn,Xm,X,Xm,Xm,0
Xm,0,0,0,Xm,Xm,0,X,U1,0,Xm,X,Xn,U1,Xm,Xn,Xn,X,Xn,Xm
Xm,U1,Xn,0,X,X,X,0,X,Xm,U1,0,Xn,0,Xm,0,X,Xn,0,Xn
Xm,Xn,Xm,0,X,U1,Xm,U1,0,Xm,0,Xm,0,Xm,Xn,X,0,U1,Xn,U1
U1,Xn,U1,0,X,Xm,0,U1,0,Xn,Xm,X,X,X,Xm,Xn,U1,Xm,Xn,X
U1,0,Xm,X,0,U1,Xn,Xm,Xn,U1,Xn,U1,Xm,Xn,Xn,0,Xm,U1,U1,X
Xn,Xn,X,0,X,0,X,U1,0,Xn,X,X,Xn,0,Xm,X,0,U1,0,0
Xm,Xm,X,Xm,Xn,U1,0,Xn,X,Xn,0,U1,Xn,Xn,X,0,U1,Xm,U1,X
Xn,Xn,X,U1,0,X,0,U1,X,Xn,0,0,Xn,0,Xn,Xm,Xm,X,Xm,0
X,X,Xm,Xn,Xn,Xm,Xn,U1,Xn,X,U1,Xm,Xn,0,Xn,Xn,0,U1,Xn,Xn
0,U1,Xn,X,U1,Xn,0,0,0,U1,Xm,Xm,0,X,X,U1,Xm,X,0,Xm
Xm,Xn,U1,U1,X,Xn,Xn,X,U1,Xm,U1,Xm,U1,U1,X,U1,X,U1,Xn,U1
Xn,U1,Xn,Xn,U1,0,X,Xn,Xn,Xm,0,U1,Xn,U1,X,X,Xn,X,0,Xm
U1,0,X,X,Xm,0,Xm,U1,U1,0,X,U1,0,0,0,Xn,Xn,U1,Xm,U1
X,Xn,0,Xn,X,Xm,X,Xn,X,X,U1,X,0,Xm,Xn,X,Xm,U1,X,X
Xn,Xn,Xn,Xm,Xn,Xn,X,Xn,Xn,Xm,0,Xn,Xm,X,U1,X,X,Xn,U1,Xn
